iter	Passed	Remaining
466	735	839
467	737	837
468	738	835
469	739	834
470	740	831
471	741	829
472	742	827
473	744	825
474	745	824
475	746	822
476	749	821
477	751	820
478	752	818
479	753	815
480	754	813
481	755	811
482	756	809
483	757	807
484	759	805
485	760	803
486	761	801
487	762	799
488	763	798
489	765	796
490	766	794
491	767	792
492	768	790
493	769	788
494	770	786
495	771	784
496	772	782
497	774	780
498	775	778
499	776	776
500	778	775
501	779	773
502	780	771
503	781	769
504	782	767
505	784	765
506	785	763
507	786	761
508	787	759
509	788	757
510	789	755
511	790	753
512	792	752
513	794	750
514	795	749
515	796	747
516	797	745
517	798	743
518	799	741
519	801	739
520	802	737
521	803	735
522	804	733
523	805	731
524	806	729
525	808	728
526	809	726
527	811	725
528	812	723
529	813	721
530	814	719
531	815	717
532	816	715
533	817	713
534	819	712
535	820	710
536	822	708
537	823	707
538	824	705
539	825	703
540	826	701
541	828	699
542	829	698
543	830	696
544	831	694
545	832	692
546	833	690
547	835	688
548	836	687
549	838	686
550	840	684
551	841	682
552	842	680
553	843	678
554	844	677
555	845	675
556	846	673
557	847	671
558	849	669
559	850	667
560	851	666
561	853	664
562	854	663
563	855	661
564	856	659
565	857	657
566	859	656
567	860	654
568	861	652
569	862	650
570	863	648
571	864	647
572	865	645
573	867	643
574	868	642
575	869	640
576	870	638
577	872	636
578	873	634
579	874	633
580	875	631
581	876	629
582	878	628
583	879	626
584	880	624
585	882	623
586	884	622
587	885	620
588	886	618
589	887	616
590	888	614
591	889	613
592	890	611
593	892	609
594	893	608
595	894	606
596	895	604
597	897	603
598	898	601
599	900	600
600	901	598
601	903	597
602	904	595
603	905	593
604	906	591
605	907	590
606	908	588
607	909	586
608	911	584
609	912	583
610	914	581
611	915	580
612	916	578
613	917	576
614	918	574
615	919	573
616	920	571
617	921	569
618	922	567
619	923	566
620	924	564
621	926	562
622	928	561
623	929	559
624	930	558
625	931	556
626	932	554
627	933	553
628	935	551
629	936	549
630	937	548
631	938	546
632	939	544
633	940	543
634	942	541
635	943	540
636	945	538
637	946	536
638	947	535
639	948	533
640	949	531
641	950	530
642	952	528
643	953	527
644	955	525
645	957	524
646	958	522
647	959	521
648	960	519
649	961	517
650	963	516
651	964	514
652	965	512
653	966	511
654	967	509
655	968	507
656	969	506
657	972	505
658	973	503
659	974	502
660	975	500
661	976	498
662	978	497
663	979	495
664	980	493
665	981	492
666	982	490
667	983	488
668	984	487
669	986	485
670	987	484
671	988	482
672	990	481
673	991	479
674	992	477
675	993	476
676	994	474
677	995	472
678	996	471
679	997	469
680	999	468
681	1002	467
682	1003	465
683	1005	464
684	1006	462
685	1007	461
686	1009	460
687	1010	458
688	1012	457
689	1014	455
690	1016	454
691	1018	453
692	1020	452
693	1022	450
694	1023	449
695	1024	447
696	1026	446
697	1027	444
698	1029	443
699	1030	441
700	1032	440
701	1034	439
702	1035	437
703	1037	436
704	1039	434
705	1040	433
706	1041	431
707	1042	430
708	1044	428
709	1046	427
710	1048	426
711	1049	424
712	1050	423
713	1052	421
714	1053	419
715	1055	418
716	1056	417
717	1057	415
718	1059	414
719	1061	412
720	1063	411
721	1064	409
722	1065	408
723	1067	406
724	1068	405
725	1070	403
726	1071	402
727	1072	400
728	1073	399
729	1074	397
730	1076	396
731	1077	394
732	1079	393
733	1080	391
734	1081	390
735	1083	388
736	1084	387
737	1086	385
738	1087	384
739	1089	382
740	1091	381
741	1092	379
742	1094	378
743	1095	376
744	1096	375
745	1098	373
746	1099	372
747	1100	370
748	1101	369
749	1103	367
750	1104	366
751	1106	365
752	1108	363
753	1109	362
754	1111	360
755	1113	359
756	1115	358
757	1117	356
758	1118	355
759	1119	353
760	1121	352
761	1122	350
762	1123	349
763	1124	347
764	1126	345
765	1128	344
766	1131	343
767	1132	342
768	1133	340
769	1135	339
770	1136	337
771	1137	336
772	1139	334
773	1140	332
774	1142	331
775	1144	330
776	1145	328
777	1146	327
778	1147	325
779	1149	324
780	1151	322
781	1152	321
782	1153	319
783	1154	318
784	1155	316
785	1156	314
786	1158	313
787	1159	311
788	1160	310
789	1162	308
790	1163	307
791	1164	305
792	1166	304
793	1167	302
794	1169	301
795	1170	299
796	1171	298
797	1172	296
798	1173	295
799	1174	293
800	1175	292
801	1176	290
802	1178	289
803	1179	287
804	1181	286
805	1182	284
806	1183	283
807	1185	281
808	1186	280
809	1188	278
810	1189	277
811	1190	275
812	1191	274
813	1192	272
814	1193	270
815	1194	269
816	1196	268
817	1197	266
818	1198	264
819	1199	263
820	1201	261
821	1202	260
822	1203	258
823	1204	257
824	1205	255
825	1206	254
826	1207	252
827	1209	251
828	1211	249
829	1212	248
830	1213	246
831	1214	245
832	1215	243
833	1217	242
834	1218	240
835	1219	239
836	1220	237
837	1221	236
838	1222	234
839	1224	233
840	1226	231
841	1227	230
842	1228	228
843	1229	227
844	1231	225
845	1232	224
846	1233	222
847	1234	221
848	1235	219
849	1236	218
850	1237	216
851	1239	215
852	1241	213
853	1242	212
854	1243	210
855	1245	209
856	1246	207
857	1247	206
858	1248	204
859	1249	203
860	1251	201
861	1252	200
862	1253	198
863	1254	197
864	1256	196
865	1257	194
866	1258	193
867	1260	191
868	1261	190
869	1262	188
870	1263	187
871	1264	185
872	1265	184
873	1266	182
874	1267	181
875	1269	179
876	1270	178
877	1271	176
878	1273	175
879	1274	173
880	1275	172
881	1276	170
882	1277	169
883	1278	167
884	1279	166
885	1281	164
886	1282	163
887	1283	161
888	1285	160
889	1287	159
890	1288	157
891	1289	156
892	1290	154
893	1291	153
894	1292	151
895	1294	150
896	1295	148
897	1297	147
898	1298	145
899	1300	144
900	1301	143
901	1303	141
902	1304	140
903	1305	138
904	1306	137
905	1307	135
906	1308	134
907	1309	132
908	1310	131
909	1312	129
910	1313	128
911	1315	126
912	1316	125
913	1317	123
914	1318	122
915	1320	121
916	1321	119
917	1322	118
918	1323	116
919	1324	115
920	1325	113
921	1326	112
922	1327	110
923	1329	109
924	1331	107
925	1332	106
926	1333	105
927	1334	103
928	1335	102
929	1336	100
930	1337	99
931	1338	97
932	1340	96
933	1341	94
934	1342	93
935	1343	91
936	1344	90
937	1346	88
938	1347	87
939	1348	86
940	1349	84
941	1350	83
942	1351	81
943	1353	80
944	1354	78
945	1355	77
946	1356	75
947	1358	74
948	1360	73
949	1361	71
950	1362	70
951	1364	68
952	1365	67
953	1366	65
954	1367	64
955	1369	63
956	1370	61
957	1371	60
958	1372	58
959	1373	57
960	1375	55
961	1376	54
962	1377	52
963	1378	51
964	1380	50
965	1381	48
966	1382	47
967	1383	45
968	1384	44
969	1385	42
970	1386	41
971	1387	39
972	1389	38
973	1390	37
974	1391	35
975	1393	34
976	1394	32
977	1395	31
978	1396	29
979	1397	28
980	1398	27
981	1399	25
982	1401	24
983	1402	22
984	1403	21
985	1405	19
986	1406	18
987	1407	17
988	1408	15
989	1409	14
990	1411	12
991	1412	11
992	1413	9
993	1415	8
994	1416	7
995	1417	5
996	1418	4
997	1420	2
998	1421	1
999	1422	0
